"country" "lat" "lon" "alt" "Prec_1962to70_mean" "Prec_1962to70_sd" "Prec_2010to18_mean" "Prec_2010to18_sd"
"ALBANIA" 40.6 20.76 900 883.636352539062 122.651916503906 852.659790039062 147.456970214844
"ALBANIA" 41.3 19.8 89 1387.0703125 171.917297363281 1335.16125488281 218.153244018555
"ALBANIA" 42.033 20.416 358 1072.62707519531 111.441291809082 1031.8271484375 174.336486816406
"ALGERIA" 35.25 1.43 1127 487.759643554688 83.6172409057617 473.885009765625 85.6080017089844
"ALGERIA" 35.26 6.34 1100 382.235809326172 90.6647338867188 357.303253173828 65.4932479858398
"ALGERIA" 35.385 -0.655 170 535.560119628906 127.252662658691 446.773315429688 69.5271072387695
"ALGERIA" 35.483 8.133 813 419.330932617188 98.552848815918 406.679412841797 69.7608337402344
"ALGERIA" 35.55 6.35 827 378.684722900391 76.9683456420898 360.698608398438 65.795783996582
"ALGERIA" 35.7 -0.65 60 458.924835205078 103.595138549805 389.555206298828 64.3480529785156
"ALGERIA" 35.77 6.41 912 354.784576416016 65.0546112060547 340.710113525391 63.7292556762695
"ALGERIA" 35.855 1.11 160 491.472320556641 94.0074234008789 478.779876708984 89.3723220825195
"ALGERIA" 35.91 2.71 910 479.9677734375 60.9148330688477 464.85546875 79.683479309082
"ALGERIA" 36.18 5.42 1086 440.250671386719 71.2474212646484 415.530303955078 77.5544738769531
"ALGERIA" 36.185 2.835 1129 726.671447753906 89.0231857299805 706.478820800781 117.827087402344
"ALGERIA" 36.28 7.96 680 690.375671386719 94.1964569091797 672.248779296875 93.2913208007812
"ALGERIA" 36.465 7.465 227 583.509643554688 82.7751312255859 563.957763671875 72.7072296142578
"ALGERIA" 36.833 7.816 4 795.413391113281 108.877395629883 783.002075195312 79.3017349243164
"ALGERIA" 36.91 7.67 830 1004.82098388672 130.484252929688 992.645324707031 103.355857849121
"AUSTRIA" 46.5 14.5 2044 1732.67810058594 200.658950805664 1747.81335449219 240.316680908203
"AUSTRIA" 46.65 14.33 476 997.616149902344 110.660835266113 1019.90295410156 132.438766479492
"AUSTRIA" 47 15.43 347 930.210632324219 92.9845199584961 929.085388183594 124.695671081543
"AUSTRIA" 47.1 13 3107 1562.40234375 212.177032470703 1652.94763183594 161.654449462891
"AUSTRIA" 47.27 11.35 593 1057.35412597656 157.837249755859 1045.78479003906 78.5330352783203
